object_id,scene_id,date,lon,lat,old_class,ais_matched,ais_matched_raw,ais_match_quality,on_land,water_fraction,distance_to_land_m,major_m,minor_m,area_m2,aspect_ratio,confidence,vv_target_p95_db,vh_target_p95_db,vv_background_median_db,vh_background_median_db,vv_contrast_db,vh_contrast_db,combined_contrast_db,vv_minus_vh_peak_db,temporal_cluster_id,n_dates_detected,detection_persistence,bright_persistence,position_std_m,ts_median_contrast_db,ts_mad_contrast_db,ts_relative_mad,temporal_spike_db,geometry_plausible,vessel_score,final_class_3,classification_reason,review_flag
29,S01_20240602,S01_20240602,103.89020315287324,1.01255753156178,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.0,219.27747525375597,30.124396751653787,20.2126078112241,609.44008468743,1.490376552743761,0.3252615928649902,-0.441650390625,-12.8671875,-8.9296875,-15.34375,8.488037109375,2.4765625,8.488037109375,12.425537109375,29,1,0.05555555555555555,0.16666666666666666,0.0,8.979736328125,0.4722900390625,0.0473249015338699,-0.49169921875,True,0.002134496659296806,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
30,S01_20240602,S01_20240602,103.75974858216104,1.0127943004196702,PROBABLE_FALSE_ALARM,False,False,NONE,True,,114.90568528557743,,,,,0.3166981339454651,-4.47265625,-11.59375,-8.7421875,-14.8046875,4.26953125,3.2109375,4.26953125,7.12109375,30,1,0.05555555555555555,0.0,0.0,4.26171875,0.61328125,0.11655530809205643,0.0078125,True,0.014586801845857459,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
31,S01_20240602,S01_20240602,103.76278872750672,1.0147204522610072,PROBABLE_FALSE_ALARM,False,False,NONE,True,,378.9512802345026,,,,,0.2616801261901855,-8.0625,-10.6875,-7.55078125,-13.1484375,-0.51171875,2.4609375,2.4609375,2.625,31,10,0.5555555555555556,0.0,18.660562294280574,2.896484375,0.48828125,0.12531328320802004,-0.435546875,True,0.004033264613638136,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
32,S01_20240602,S01_20240602,103.92853338344707,1.0162160075023738,STATIC_MARITIME_OBJECT,False,False,NONE,False,1.0,238.561875319996,1071.9967700165212,246.32764159855245,160883.4383867428,4.351914235283373,0.8341782093048096,-3.40625,-10.3125,-6.234375,-12.8359375,2.828125,2.5234375,2.828125,6.90625,32,15,0.8333333333333334,0.0,15.069277590136176,3.0107421875,0.41015625,0.10226442658875091,-0.1826171875,False,0.36660313315811804,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),True
33,S01_20240602,S01_20240602,103.8802591342682,1.0164241219960768,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.0,561.2754768427022,392.53035474550137,204.526356942767,50075.94248244583,1.91921647954324,0.3182950317859649,-6.3515625,-11.765625,-9.9921875,-15.0,3.640625,3.234375,3.640625,5.4140625,33,12,0.6666666666666666,0.0,4.330367880516269,5.3759765625,0.609375,0.09557359473119927,-1.7353515625,False,0.0007226815663654049,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
34,S01_20240602,S01_20240602,103.83652377600734,1.0165532248114504,PROBABLE_FALSE_ALARM,False,False,NONE,True,,129.55205280935917,,,,,0.3874140381813049,-5.05859375,-12.78125,-8.4609375,-15.3671875,3.40234375,2.5859375,3.40234375,7.72265625,34,5,0.2777777777777778,0.0,11.848518229668858,4.0,0.474609375,0.094921875,-0.59765625,True,0.012073465699635463,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
35,S01_20240602,S01_20240602,103.88709786731656,1.016873481710011,PROBABLE_FALSE_ALARM,False,False,NONE,True,0.0,106.07608381167128,77.46419125740715,41.73272496407218,2133.0420433591435,1.8561977758245187,0.5809718370437622,-6.44921875,-12.296875,-7.85546875,-14.2578125,1.40625,1.9609375,1.9609375,5.84765625,35,13,0.7222222222222222,0.0,10.825403246072458,3.224609375,0.87109375,0.2061950993989829,-1.263671875,True,0.0009869806528599117,STATIC_OR_PROBABLE_FALSE_ALARM,on-land hard rejection,False
36,S01_20240602,S01_20240602,103.8046385179596,1.0177858581782302,STATIC_MARITIME_OBJECT,False,False,NONE,False,0.875,243.6524188844765,820.4937905010659,338.08100973934705,140971.40035776346,2.426914753755759,0.7926462888717651,-8.96875,-12.6640625,-9.9296875,-15.609375,0.9609375,2.9453125,2.9453125,3.6953125,36,15,0.8333333333333334,0.0,7.7568141651139895,4.99609375,0.78125,0.13029315960912052,-2.05078125,False,0.13629342656310295,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
37,S01_20240602,S01_20240602,103.8537467036094,1.0186881152279963,STATIC_MARITIME_OBJECT,False,False,NONE,False,,291.497408660199,,,,,0.4177467823028564,-5.9765625,-11.296875,-7.9453125,-13.96875,1.96875,2.671875,2.671875,5.3203125,37,11,0.6111111111111112,0.0,27.387286808148882,3.83203125,0.6953125,0.1438965238480194,-1.16015625,True,0.00909990419205589,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
38,S01_20240602,S01_20240602,103.9138153766639,1.022712788906952,STATIC_MARITIME_OBJECT,False,False,NONE,False,0.95,75.70357442336523,524.6807130323466,314.9038575635966,104415.42144649295,1.666161593229719,0.6154925227165222,-1.2783203125,-10.09375,-9.09375,-14.5234375,7.8154296875,4.4296875,7.8154296875,8.8154296875,38,15,0.8333333333333334,0.0,18.548514709870414,6.2333984375,0.548828125,0.07587417307951938,1.58203125,False,0.25333637711457935,STATIC_OR_PROBABLE_FALSE_ALARM,vessel score below calibrated threshold (0.40),False
